date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:27	247981/247981	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:12:04%20GMT	https://bookland.dexignzone.com/xhtml/images/banner/banner-media3.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/banner/banner-media3.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:27	44805/44805	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:43%20GMT	https://bookland.dexignzone.com/xhtml/images/about/about1.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/about/about1.jpg	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:28	165911/165911	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:12:04%20GMT	https://bookland.dexignzone.com/xhtml/images/banner/banner-media4.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/banner/banner-media4.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:28	30679/30679	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:11:43%20GMT	https://bookland.dexignzone.com/xhtml/images/about/about2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/about/about2.jpg	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:28	1118/1118	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:12:53%20GMT	https://bookland.dexignzone.com/xhtml/images/testimonial/wave.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/testimonial/wave.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:28	15514/15514	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:50%20GMT	https://bookland.dexignzone.com/xhtml/images/testimonial/testimonial5.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/testimonial/testimonial5.jpg	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:29	40526/40526	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:53%20GMT	https://bookland.dexignzone.com/xhtml/images/testimonial/testimonial6.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/testimonial/testimonial6.jpg	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:29	2287/2287	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:11:21%20GMT	https://bookland.dexignzone.com/xhtml/images/logo-white.png	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/logo-white.png	(from https://bookland.dexignzone.com/xhtml/index-2.html)
21:28:29	39477/39477	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:37%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service2.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service2.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
21:28:30	69219/69219	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202022%2010:12:37%20GMT	https://bookland.dexignzone.com/xhtml/images/services/service1.jpg	C:/Users/Orange/Desktop/last/bookland.dexignzone.com/xhtml/images/services/service1.jpg	(from https://bookland.dexignzone.com/xhtml/services.html)
